period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
26023,1,3,8,10,23,29,6,0,12,5612828,133,221171,361967792,2026-03-03
26022,15,18,23,25,28,32,11,0,6,6366973,152,215837,380507698,2026-03-01
26021,3,13,25,26,30,31,4,0,6,7076614,113,441050,351619166,2026-02-26
26020,1,13,14,21,24,30,2,0,2,10000000,64,994080,381989060,2026-02-24
26019,7,8,16,17,18,30,1,0,7,6673652,220,213010,428387634,2026-02-12
26018,11,15,17,22,25,30,7,0,6,5577851,82,169127,365733450,2026-02-10
26017,1,3,5,18,29,32,4,0,6,6934706,130,357176,387896530,2026-02-08
26016,4,5,9,10,27,30,13,0,8,5687274,247,89039,364669398,2026-02-05
26015,7,10,13,22,27,31,12,0,5,7580431,148,348706,359738534,2026-02-03
26014,7,13,19,22,26,32,1,0,17,5882352,201,299554,386492580,2026-02-01
26013,4,9,12,13,16,20,1,0,5,9433203,103,269005,380549690,2026-01-29
26012,3,5,7,16,20,24,8,0,8,6799445,65,276837,358422924,2026-01-27
26011,2,3,4,20,31,32,4,0,3,10000000,77,388911,394441490,2026-01-25
