period,red1,red2,red3,red4,red5,red6,blue,jackpot,first_prize_count,first_prize_amount,second_prize_count,second_prize_amount,total_bet_amount,draw_date
11153,5,8,9,10,20,25,13,757962272,16,0,282,0,0,2011-12-29
12001,1,4,5,9,15,17,6,782875794,6,0,110,0,0,2012-01-01
12002,2,3,7,9,10,32,13,752033556,17,0,101,0,0,2012-01-03
12003,3,6,8,24,29,31,9,629548166,26,0,165,0,0,2012-01-05
12004,1,5,10,11,21,23,16,669026740,4,0,153,0,0,2012-01-08
12005,7,9,18,27,31,33,6,688695791,7,0,102,0,0,2012-01-10
12006,2,22,25,29,32,33,8,638291299,17,0,127,0,0,2012-01-12
12007,10,17,19,27,28,32,4,671945560,5,0,88,0,0,2012-01-15
12008,1,12,20,23,24,29,8,694925145,5,0,108,0,0,2012-01-17
12009,4,16,24,26,27,33,11,695344944,7,0,76,0,0,2012-01-19
12010,1,3,13,19,25,26,10,722185940,4,0,112,0,0,2012-01-29
12011,4,14,15,16,20,26,5,666005385,15,0,212,0,0,2012-01-31
12012,15,17,18,20,23,27,1,705069412,2,0,75,0,0,2012-02-02
12013,6,8,24,29,30,32,13,708910740,10,0,164,0,0,2012-02-05
12014,1,2,5,16,28,30,12,444719580,59,0,112,0,0,2012-02-07
12015,1,3,6,10,21,23,15,471786918,3,0,77,0,0,2012-02-09
12016,2,5,12,17,22,25,8,423537888,16,0,278,0,0,2012-02-12
12017,6,9,14,19,25,28,10,335624562,26,0,237,0,0,2012-02-14
12018,3,5,6,22,26,32,15,380505912,4,0,78,0,0,2012-02-16
12019,7,14,18,20,22,30,16,400631707,7,0,130,0,0,2012-02-19
12020,3,8,12,18,23,29,11,341661021,19,0,354,0,0,2012-02-21
12021,1,15,16,18,22,30,3,382151985,3,0,45,0,0,2012-02-23
12022,4,8,12,24,26,27,4,385730443,7,0,180,0,0,2012-02-26
12023,5,9,15,23,24,33,2,386601237,9,0,216,0,0,2012-02-28
12024,4,12,19,21,25,28,13,307292592,24,0,289,0,0,2012-03-01
12025,3,8,9,17,25,27,6,283592844,12,0,226,0,0,2012-03-04
12026,3,7,9,15,24,25,16,344741670,2,0,107,0,0,2012-03-06
12027,4,16,22,25,30,31,12,408771750,1,0,72,0,0,2012-03-08
12028,10,15,20,21,28,30,11,430275054,6,0,142,0,0,2012-03-11
12029,4,7,15,25,26,28,3,462219036,4,0,135,0,0,2012-03-13
12030,9,10,17,18,21,31,8,441429534,9,0,133,0,0,2012-03-15
12031,4,16,22,24,27,31,3,494705544,4,0,108,0,0,2012-03-18
12032,1,2,10,17,22,24,4,545746332,2,0,50,0,0,2012-03-20
12033,2,3,15,16,17,27,4,520898790,15,0,388,0,0,2012-03-22
12034,2,3,8,23,32,33,16,559655765,5,0,140,0,0,2012-03-25
12035,9,11,12,21,24,26,5,516727952,16,0,132,0,0,2012-03-27
12036,2,11,13,18,19,26,9,473900100,12,0,110,0,0,2012-03-29
12037,5,14,19,24,28,33,9,516094744,4,0,165,0,0,2012-04-01
12038,9,10,11,15,19,33,16,545604136,4,0,102,0,0,2012-04-03
12039,1,2,5,13,22,29,8,562277750,5,0,68,0,0,2012-04-05
12040,3,8,9,22,25,31,10,503321868,18,0,211,0,0,2012-04-08
12041,8,11,15,20,24,32,2,528527286,6,0,77,0,0,2012-04-10
12042,5,6,11,19,24,28,16,543764552,8,0,225,0,0,2012-04-12
12043,2,9,11,21,26,33,3,521461388,14,0,152,0,0,2012-04-15
12044,6,9,10,14,22,25,3,544205207,7,0,123,0,0,2012-04-17
12045,8,11,20,21,27,30,9,549811570,7,0,165,0,0,2012-04-19
12046,4,12,19,20,23,33,6,538225270,10,0,209,0,0,2012-04-22
12047,6,7,11,16,32,33,11,546067464,6,0,85,0,0,2012-04-24
12048,1,5,14,22,24,30,10,552158516,7,0,86,0,0,2012-04-26
12049,4,12,13,19,20,32,2,577425876,6,0,95,0,0,2012-04-29
12050,7,13,15,17,19,24,11,598944924,6,0,98,0,0,2012-05-01
12051,2,12,14,17,30,31,9,618009885,5,0,116,0,0,2012-05-03
12052,2,3,5,6,20,24,4,644091290,5,0,104,0,0,2012-05-06
12053,4,15,22,25,27,33,4,712030309,1,0,140,0,0,2012-05-08
12054,6,14,18,20,30,33,14,733827565,5,0,64,0,0,2012-05-10
12055,4,6,13,20,24,28,1,769919052,4,0,110,0,0,2012-05-13
12056,4,7,14,17,26,31,10,758653203,11,0,193,0,0,2012-05-15
12057,3,5,19,21,27,31,4,814275846,3,0,143,0,0,2012-05-17
12058,3,6,15,20,25,26,4,861105840,4,0,204,0,0,2012-05-20
12059,4,13,21,22,26,31,1,895158438,6,0,205,0,0,2012-05-22
12060,7,10,13,16,17,29,1,981041268,1,0,155,0,0,2012-05-24
12061,3,8,11,12,14,18,14,1021792620,5,0,136,0,0,2012-05-27
12062,2,13,16,17,20,31,7,1007530788,4,0,102,0,0,2012-05-29
12063,2,10,17,19,24,27,12,996662843,11,0,95,0,0,2012-05-31
12064,5,10,11,16,23,24,11,986276964,12,0,135,0,0,2012-06-03
